2024-09-08 23:36:00,298 - 'a'
2024-09-08 23:36:00,393 - 'e'
2024-09-08 23:36:00,570 - 'a'
2024-09-08 23:36:00,582 - 'z'
2024-09-08 23:36:00,709 - 'e'
2024-09-08 23:36:00,831 - 'a'
2024-09-08 23:36:00,837 - 'z'
2024-09-08 23:36:00,949 - 'e'
2024-09-08 23:36:01,073 - 'a'
2024-09-08 23:36:01,076 - 'z'
2024-09-08 23:36:01,190 - 'e'
2024-09-08 23:36:01,309 - 'e'
2024-09-08 23:36:01,313 - 'o'
2024-09-08 23:36:01,330 - 'f'
2024-09-08 23:36:01,475 - 'n'
2024-09-08 23:36:01,502 - 'q'
2024-09-08 23:36:01,565 - 'o'
2024-09-08 23:36:01,570 - 'i'
2024-09-08 23:36:01,624 - 'd'
2024-09-08 23:36:01,646 - 'j'
2024-09-08 23:36:01,730 - 'q'
2024-09-08 23:36:01,747 - 's'
2024-09-08 23:36:01,831 - 'd'
2024-09-08 23:36:01,835 - 'j'
2024-09-08 23:36:01,952 - 'q'
2024-09-08 23:36:02,013 - 'j'
2024-09-08 23:36:02,052 - 'd'
2024-09-08 23:36:02,164 - 'j'
2024-09-08 23:36:02,173 - 'q'
2024-09-08 23:36:02,194 - 's'
2024-09-08 23:36:02,308 - 'd'
2024-09-08 23:36:02,409 - 'q'
2024-09-08 23:36:02,412 - 's'
2024-09-08 23:36:02,458 - 'o'
2024-09-08 23:36:02,494 - 'd'
2024-09-08 23:36:02,532 - 'j'
2024-09-08 23:36:02,563 - 'i'
2024-09-08 23:36:02,613 - 'q'
2024-09-08 23:36:02,617 - 's'
2024-09-08 23:36:02,703 - 'd'
2024-09-08 23:36:03,189 - Key.enter
2024-09-08 23:36:12,930 - Key.ctrl_l
2024-09-08 23:36:13,294 - '\x03'
2024-09-08 23:36:15,313 - Key.ctrl_l
2024-09-08 23:36:15,562 - '\x03'
